user_id,property_id,rating,interaction_type
user_52,property_48,5,view
user_11,property_9,3,view
user_85,property_12,5,contact
user_82,property_15,5,view
user_91,property_3,4,favorite
user_52,property_25,3,view
user_32,property_38,3,view
user_5,property_18,3,view
user_35,property_47,5,contact
user_65,property_20,2,view
user_44,property_5,4,contact
user_77,property_15,4,contact
user_46,property_12,5,contact
user_28,property_34,4,favorite
user_92,property_41,4,view
user_10,property_41,5,contact
user_58,property_4,3,view
user_63,property_49,4,contact
user_97,property_31,3,favorite
user_97,property_19,4,view
user_13,property_37,2,favorite
user_93,property_8,3,favorite
user_38,property_35,4,view
user_9,property_27,2,contact
user_49,property_50,1,view
user_6,property_1,3,contact
user_99,property_4,2,contact
user_72,property_45,2,view
user_5,property_49,3,favorite
user_26,property_34,3,contact
user_86,property_33,5,view
user_29,property_42,2,contact
user_88,property_37,5,contact
user_90,property_24,2,favorite
user_9,property_8,3,favorite
user_21,property_43,3,favorite
user_54,property_13,1,contact
user_55,property_14,1,view
user_92,property_4,4,view
user_49,property_6,4,contact
user_37,property_1,5,favorite
user_37,property_13,2,contact
user_17,property_41,4,favorite
user_99,property_22,4,favorite
user_49,property_20,5,favorite
user_1,property_20,2,favorite
user_75,property_32,2,favorite
user_70,property_12,3,favorite
user_19,property_36,2,favorite
user_34,property_39,5,contact
user_95,property_24,5,contact
user_72,property_43,5,view
user_4,property_26,5,contact
user_62,property_3,3,view
user_2,property_45,2,favorite
user_27,property_9,5,view
user_31,property_6,4,contact
user_2,property_17,5,favorite
user_41,property_22,2,favorite
user_88,property_37,5,view
user_45,property_28,2,contact
user_85,property_37,2,contact
user_95,property_35,3,favorite
user_30,property_23,3,view
user_72,property_45,5,view
user_67,property_25,2,contact
user_72,property_35,1,view
user_98,property_45,5,view
user_48,property_17,1,contact
user_65,property_22,1,contact
user_71,property_39,2,favorite
user_53,property_44,1,view
user_56,property_33,4,view
user_15,property_47,4,favorite
user_67,property_31,4,favorite
user_46,property_31,4,view
user_20,property_2,4,favorite
user_69,property_12,1,contact
user_39,property_3,1,view
user_88,property_23,2,view
user_25,property_33,1,view
user_95,property_40,2,view
user_90,property_41,3,contact
user_85,property_46,2,contact
user_34,property_33,3,contact
user_95,property_49,5,view
user_19,property_7,2,contact
user_3,property_44,1,view
user_39,property_27,4,view
user_58,property_26,2,contact
user_10,property_48,3,view
user_47,property_15,3,view
user_59,property_8,1,view
user_50,property_35,2,view
user_53,property_26,1,favorite
user_40,property_42,4,contact
user_86,property_43,4,contact
user_90,property_13,2,view
user_87,property_9,3,favorite
user_95,property_38,4,contact
user_16,property_36,1,favorite
user_53,property_32,2,view
user_50,property_28,1,view
user_75,property_7,3,view
