property_id,type,price,location,bedrooms,bathrooms
property_1,villa,898084,CityA,3,2
property_2,apartment,489951,CityC,1,2
property_3,house,930912,CityD,3,2
property_4,apartment,544007,CityB,4,3
property_5,villa,197390,CityA,3,1
property_6,studio,555504,CityD,1,3
property_7,villa,234724,CityA,2,3
property_8,villa,318499,CityA,1,1
property_9,house,378594,CityC,3,3
property_10,villa,916993,CityB,5,3
property_11,apartment,89973,CityB,1,2
property_12,apartment,154914,CityD,1,2
property_13,apartment,966978,CityD,4,2
property_14,studio,382948,CityA,5,3
property_15,villa,866852,CityD,5,1
property_16,studio,848686,CityB,3,3
property_17,villa,236932,CityC,1,2
property_18,apartment,663622,CityB,3,2
property_19,studio,989310,CityA,3,1
property_20,apartment,792054,CityB,4,3
property_21,villa,234376,CityA,4,1
property_22,apartment,923823,CityA,2,2
property_23,studio,192506,CityB,5,1
property_24,apartment,163726,CityA,4,3
property_25,house,992685,CityD,5,1
property_26,apartment,149345,CityD,2,2
property_27,house,677380,CityD,4,2
property_28,house,798400,CityD,4,2
property_29,house,808230,CityA,5,2
property_30,studio,74617,CityA,1,3
property_31,house,191377,CityB,3,2
property_32,house,608185,CityC,2,2
property_33,studio,833098,CityB,2,2
property_34,house,512076,CityA,2,1
property_35,house,694245,CityD,3,2
property_36,house,765370,CityB,3,1
property_37,apartment,463252,CityB,4,1
property_38,villa,304841,CityC,2,1
property_39,house,51579,CityB,4,3
property_40,villa,187492,CityC,3,2
property_41,studio,294467,CityD,3,2
property_42,apartment,299996,CityA,1,2
property_43,villa,325984,CityC,4,3
property_44,studio,986135,CityA,5,1
property_45,house,199072,CityA,2,3
property_46,villa,868101,CityB,3,1
property_47,studio,164555,CityA,3,1
property_48,house,352444,CityB,5,3
property_49,house,83542,CityD,4,2
property_50,studio,861201,CityC,2,2
