user_id,age,location,user_type
user_1,31,CityC,renter
user_2,19,CityA,buyer
user_3,52,CityD,renter
user_4,65,CityC,agent
user_5,57,CityB,buyer
user_6,52,CityB,buyer
user_7,53,CityB,buyer
user_8,37,CityB,renter
user_9,21,CityC,buyer
user_10,56,CityA,renter
user_11,64,CityC,buyer
user_12,35,CityB,buyer
user_13,46,CityD,agent
user_14,68,CityA,renter
user_15,19,CityD,agent
user_16,56,CityD,renter
user_17,47,CityB,buyer
user_18,26,CityB,renter
user_19,38,CityB,buyer
user_20,31,CityB,buyer
user_21,20,CityB,agent
user_22,65,CityA,renter
user_23,27,CityB,agent
user_24,25,CityD,buyer
user_25,32,CityB,buyer
user_26,56,CityB,renter
user_27,30,CityB,buyer
user_28,64,CityA,renter
user_29,61,CityB,buyer
user_30,62,CityA,agent
user_31,38,CityB,agent
user_32,67,CityB,renter
user_33,61,CityA,buyer
user_34,45,CityB,renter
user_35,66,CityA,agent
user_36,52,CityA,agent
user_37,56,CityA,agent
user_38,41,CityB,renter
user_39,23,CityB,renter
user_40,57,CityD,renter
user_41,50,CityC,renter
user_42,60,CityC,agent
user_43,34,CityD,agent
user_44,44,CityC,renter
user_45,61,CityD,renter
user_46,55,CityA,agent
user_47,29,CityB,agent
user_48,30,CityD,buyer
user_49,27,CityA,agent
user_50,69,CityD,buyer
user_51,36,CityB,buyer
user_52,60,CityC,renter
user_53,41,CityA,renter
user_54,58,CityC,buyer
user_55,49,CityD,agent
user_56,18,CityC,renter
user_57,64,CityC,renter
user_58,62,CityB,renter
user_59,50,CityD,renter
user_60,34,CityD,buyer
user_61,55,CityD,buyer
user_62,56,CityA,buyer
user_63,47,CityA,renter
user_64,22,CityA,agent
user_65,41,CityA,buyer
user_66,31,CityA,renter
user_67,38,CityA,buyer
user_68,33,CityA,buyer
user_69,54,CityC,buyer
user_70,47,CityA,buyer
user_71,22,CityA,buyer
user_72,19,CityD,renter
user_73,53,CityA,buyer
user_74,32,CityD,buyer
user_75,28,CityD,buyer
user_76,67,CityD,buyer
user_77,47,CityD,renter
user_78,68,CityC,buyer
user_79,52,CityC,agent
user_80,32,CityD,buyer
user_81,50,CityA,renter
user_82,58,CityD,renter
user_83,18,CityC,buyer
user_84,19,CityD,agent
user_85,53,CityB,renter
user_86,22,CityB,renter
user_87,61,CityC,agent
user_88,39,CityC,renter
user_89,51,CityB,buyer
user_90,37,CityB,agent
user_91,22,CityB,buyer
user_92,42,CityA,agent
user_93,36,CityB,agent
user_94,49,CityA,buyer
user_95,40,CityC,buyer
user_96,47,CityD,agent
user_97,56,CityD,renter
user_98,57,CityD,agent
user_99,30,CityB,renter
user_100,37,CityA,renter
